requirement,label
"The website should load within 2 seconds.",CLEAR
"The API should return results within 500 milliseconds.",CLEAR
"The system should support 1000 concurrent users.",CLEAR
"Users can upload files up to 10 MB in PDF format.",CLEAR
"The password must contain at least 12 characters.",CLEAR
"The application must process each payment within 3 seconds.",CLEAR
"The report should be generated in PDF format.",CLEAR
"The system must retain transaction records for 7 years.",CLEAR
"The service should allow a maximum of 5 login attempts per minute.",CLEAR
"The database backup must run every 24 hours.",CLEAR
"The website should load quickly.",VAGUE
"The application should be easy to use.",VAGUE
"The system should be highly efficient.",VAGUE
"The interface should be user-friendly.",VAGUE
"The API should respond very fast.",VAGUE
"The application should handle a large number of users.",VAGUE
"The system should provide excellent performance.",VAGUE
"The website should have a simple design.",VAGUE
"The application should be highly secure.",VAGUE
"The report should be generated soon.",VAGUE
"Users should be able to upload files.",MISSING_CONSTRAINT
"The system should support many users.",MISSING_CONSTRAINT
"The application should store customer data.",MISSING_CONSTRAINT
"Users should receive notifications.",MISSING_CONSTRAINT
"The system should allow users to export reports.",MISSING_CONSTRAINT
"The application should process payments.",MISSING_CONSTRAINT
"Users should be able to reset their password.",MISSING_CONSTRAINT
"The system should back up the database.",MISSING_CONSTRAINT
"The website should allow users to search products.",MISSING_CONSTRAINT
"The application should retain user records.",MISSING_CONSTRAINT
"The login page must lock an account after 5 failed attempts.",CLEAR
"The API must handle 500 requests per second.",CLEAR
"The application must send an email within 1 minute after registration.",CLEAR
"Users must be logged out after 30 minutes of inactivity.",CLEAR
"The search results must appear within 1 second.",CLEAR
"The system must store passwords using a secure hashing algorithm.",CLEAR
"Uploaded images must not exceed 5 MB.",CLEAR
"The payment request must time out after 10 seconds.",CLEAR
"The application must support Chrome, Firefox, and Edge.",CLEAR
"Daily database backups must be retained for 30 days.",CLEAR
"The notification service must deliver messages within 5 seconds.",CLEAR
"Users must receive a password reset link that expires after 15 minutes.",CLEAR
"The system must process 10,000 transactions per hour.",CLEAR
"Reports must include data from the selected date range.",CLEAR
"The API must return HTTP 400 for invalid input.",CLEAR
"The application must allow a user to download reports as CSV files.",CLEAR
"The system must keep an audit log for every administrative action.",CLEAR
"Product searches must return no more than 50 results per page.",CLEAR
"The application must automatically retry a failed request up to 3 times.",CLEAR
"Session tokens must expire after 24 hours.",CLEAR
"The website should be very fast.",VAGUE
"The application should be simple and convenient.",VAGUE
"The system should provide smooth performance.",VAGUE
